source,source_id,name,city,address,latitude,longitude,phone,website,rating,review_count,opening_hours,price_range,tags,licensed,detail_url,lastmod
thaidispos,north-east-cali-phuket,North East Cali Cannabis Dispensary,Phuket,"Phuket Town, Phuket 83000",7.8804,98.3923,,,4.9,107,Mo-Su 16:00:00-00:00:00,฿,,True,https://thaidispos.com/dispensaries/north-east-cali-phuket,
thaidispos,cloud-nine-bangkok,Cloud Nine Thailand,Bangkok,"221 Sukhumvit Rd, Khlong Toei, Bangkok 10110",13.7383,100.5608,+6620260988,https://cloudninethailand.com,4.8,340,Mo-Su 10:00:00-02:00:00,฿฿฿,,True,https://thaidispos.com/dispensaries/cloud-nine-bangkok,
thaidispos,wonderland-bangkok,Wonderland Bangkok,Bangkok,"Soi Sukhumvit 5, Khlong Toei, Bangkok 10110",13.7412,100.5533,+6620041474,https://wonderlandbangkok.com,4.96,1500,Mo-Su 18:00:00-02:00:00,฿฿฿,,True,https://thaidispos.com/dispensaries/wonderland-bangkok,
thaidispos,dr-green-bangkok,Dr Green Bangkok,Bangkok,"93 Sukhumvit Rd, Asoke, Bangkok 10110",13.7362,100.5604,,https://drgreen-thailand.com,4.8,890,Mo-Su 00:00-23:59,฿฿,,True,https://thaidispos.com/dispensaries/dr-green-bangkok,
thaidispos,stash-cannabis-bangkok,Stash Cannabis Rooftop Bar & Lounge,Bangkok,"135/9 Yaowaphanich Rd, Samphanthawong, Bangkok 10100",13.7418,100.5098,,,4.5,210,Mo-Su 16:00:00-00:00:00,฿฿,,True,https://thaidispos.com/dispensaries/stash-cannabis-bangkok,
thaidispos,mary-jane-chiang-mai,Mary Jane Chiang Mai,Chiang Mai,"Near Tha Phae Gate, Old City, Chiang Mai 50200",18.7883,98.9853,,,4.6,320,Mo-Su 10:00:00-22:00:00,฿,,True,https://thaidispos.com/dispensaries/mary-jane-chiang-mai,
thaidispos,green-house-pattaya,Green House Pattaya,Pattaya,"Walking Street, South Pattaya, Chonburi 20150",12.9236,100.8825,,,4.3,185,Mo-Su 12:00:00-02:00:00,฿฿,,True,https://thaidispos.com/dispensaries/green-house-pattaya,
thaidispos,island-buds-koh-samui,Island Buds Koh Samui,Koh Samui,"Chaweng Beach Road, Koh Samui, Surat Thani 84320",9.512,100.0136,,,4.4,95,Mo-Su 10:00:00-23:00:00,฿฿,,True,https://thaidispos.com/dispensaries/island-buds-koh-samui,
