id,publicId,gid,displayName,name_thai,name_english,lat,lng,zipcode,categories,primary_category,is_likely_food,default_photo_url,detail_url,atc_match_count,atc_has_match,atc_top_advertiser,atc_top_advertiser_id,atc_advertiser_url,atc_check_status
2244867,2244867YZ,09VxvS4E36FhibhagRofiAKzfhzH67,ดูดนมอมไข่มุก สาขาหลัก สาขาหลัก,ดูดนมอมไข่มุก สาขาหลัก,,16.9551657,103.4245678,,ชานมไข่มุก,ชานมไข่มุก,1,https://img.wongnai.com/p/_-x_/2023/04/28/99567a2167d5482a929810aa3c1585f3.jpg,https://www.wongnai.com/restaurants/2244867YZ,0,0,,,,ok
1960125,1960125mu,09VxncjQGXb7kEsjNcrGizetaRzRYU,ร้านขนมจีนชาววัง,,,17.362943262547727,103.12537408421666,41130,อาหารไทย,อาหารไทย,1,https://img.wongnai.com/p/_-x_/2022/10/18/45a299328b97488db63c379aa23ac590.jpg,https://www.wongnai.com/restaurants/1960125mu,0,0,,,,ok
3315726,3315726pX,09VyWWb6VQNntwxWYkwfr79k1liOmu,ร้านลูกชิ้น-เกี๊ยวทอด TP กุมภวาปี,,,17.135141474610435,103.0150146320562,41110,อาหารจานเดียว,อาหารจานเดียว,1,https://img.wongnai.com/p/_-x_/2025/07/23/08b659e0a8e7417abf53c389bce69c4a.jpg,https://www.wongnai.com/restaurants/3315726pX,0,0,,,,ok
3322556,3322556bY,09VyWhyDkSOSxujQERXXDutQ2gGBhs,Rakkii Ban Kapow & Matcha (รักกิบ้านกะเพรา&มัทฉะ),,,17.107380696329525,103.01902744996427,41110,อาหารตามสั่ง,อาหารตามสั่ง,1,https://img.wongnai.com/p/_-x_/2025/07/04/985b171e34104897b258ebd456ee4026.jpg,https://www.wongnai.com/restaurants/3322556bY,0,0,,,,ok
3324131,3324131zi,09VyWkv7H0JarHBzc9cEgFpxh1JH5q,Rosnor cafe,,,17.110821965870482,103.01370372450151,41110,คาเฟ่,คาเฟ่,1,https://img.wongnai.com/p/_-x_/2025/07/09/384d66494a9146dc97605e89b8befc77.jpg,https://www.wongnai.com/restaurants/3324131zi,0,0,,,,ok
3372752,3372752yI,09VyYASEkxbEw2EBj7Ega81K6y9h9r,น็อต ทะลุฟ้า ชานมไข่มุก(บ้านท่าเปลือย),,,17.096994941128422,103.02666015225776,41110,ร้านกาแฟ/ชา,ร้านกาแฟ/ชา,1,https://img.wongnai.com/p/_-x_/2025/08/05/60f4107e652240e5a920c9502df298cf.jpg,https://www.wongnai.com/restaurants/3372752yI,0,0,,,,ok
3298088,3298088Ij,09VyVzXA8wAdkl6doaa1oa1un8dmbg,ร้านเด็ดใบชา & กาแฟสด บ้านดุง,,Delicious Tea Leaves & Fresh Coffee,17.69722325166078,103.26001474633813,41190,อาหารตามสั่ง|ชานมไข่มุก|ร้านกาแฟ/ชา,อาหารตามสั่ง,1,https://img.wongnai.com/p/_-x_/2025/06/19/1b271cc9dcee4dccb0d9ba2e6dcf702a.jpg,https://www.wongnai.com/restaurants/3298088Ij,0,0,,,,ok
3322755,3322755iG,09VyWiBNDkXuW9J9yZUzRTgResmUbs,ไคฮวดคอนเนอร์ - ถ.ยิ้มประสิทธิ์,,,17.10813837055721,103.01545836440039,41110,คาเฟ่,คาเฟ่,1,https://img.wongnai.com/p/_-x_/2025/08/15/ce138fe02270486f879ebf934f186e2b.jpg,https://www.wongnai.com/restaurants/3322755iG,0,0,,,,ok
3362674,3362674kh,09VyXtgz9QXI1a4yO8lBgcxoUDkKow,ส้มตำครกแตก บ้านดุง,,Pestle Papaya Salad,17.6865484288545,103.26044167186392,41190,อาหารอีสาน/ร้านส้มตำ|อาหารจานเดียว,อาหารอีสาน/ร้านส้มตำ,1,https://img.wongnai.com/p/_-x_/2025/07/30/f4bec8ca1ab3488bb80a7172e408c03f.jpg,https://www.wongnai.com/restaurants/3362674kh,0,0,,,,ok
3326151,3326151xd,09VyWnxnmZ4dxT9oufkF4OaVN6CKPu,คักเติบ - ริมปาว,,,17.098503142200997,103.02863706728367,41110,อาหารตามสั่ง,อาหารตามสั่ง,1,https://img.wongnai.com/p/_-x_/2026/02/22/546d41592aaa42aa8f5d37e8de95729a.jpg,https://www.wongnai.com/restaurants/3326151xd,0,0,,,,ok
3324468,3324468Hk,09VyWlIHQCBhASCs1lomb2xEaTy0vD,กงสัน หม่าล่า - กุมภวาปี,,,17.103765363031048,103.01069687245247,41110,ปิ้งย่าง,ปิ้งย่าง,1,https://img.wongnai.com/p/_-x_/2025/07/07/d8e62dceb6034a92b779948f849d2c26.jpg,https://www.wongnai.com/restaurants/3324468Hk,0,0,,,,ok
3325974,3325974bH,09VyWnlhWjWhX0ugbm7iXrIglJpHWo,ส้มตำเจ๊กุ้ง - ยิ้มประสิทธิ์,,,17.10357704814332,103.01542886626181,41110,อาหารอีสาน/ร้านส้มตำ,อาหารอีสาน/ร้านส้มตำ,1,https://img.wongnai.com/p/_-x_/2025/07/07/f132851a1dc34e069dca8addc1a8ad13.jpg,https://www.wongnai.com/restaurants/3325974bH,0,0,,,,ok
3319881,3319881Sb,09VyWd6QYvszXvtFZIoyOtKo8fEn5O,ตำเตี๋ยวป่ะ ถนนศศิกาญจน์,,,17.109121909772504,103.01539238792314,41110,ก๋วยเตี๋ยว,ก๋วยเตี๋ยว,1,https://img.wongnai.com/p/_-x_/2025/07/02/c177c28d59f34d46b65ca02eed623bdd.jpg,https://www.wongnai.com/restaurants/3319881Sb,0,0,,,,ok
3327205,3327205La,09VyWqKvVwcsDheEj1gNFya93Hasds,ณ กุมภวาคาเฟ่,,At Kumphawa Cafe,17.105312696673995,103.0182752945489,41110,คาเฟ่,คาเฟ่,1,https://img.wongnai.com/p/_-x_/2025/07/07/0d5fcdac65904411a3e417f0b0d269b0.jpg,https://www.wongnai.com/restaurants/3327205La,0,0,,,,ok
3324345,3324345nu,09VyWlAMbgSd17oPGVxhh7WTGmhBi5,นมเขา - ถนนจำปี,,,17.106746895182216,103.01030067083589,41110,ร้านกาแฟ/ชา,ร้านกาแฟ/ชา,1,https://img.wongnai.com/p/_-x_/2025/07/24/fdb3b91316944a65aad170fe92dde81e.jpg,https://www.wongnai.com/restaurants/3324345nu,0,0,,,,ok
