id,publicId,gid,displayName,name_thai,name_english,lat,lng,zipcode,categories,primary_category,is_likely_food,default_photo_url,detail_url,fb_ad_count,has_fb_ads,fb_search_url,atc_search_url,fb_check_status
2524410,2524410Cj,09Vy3vF2HpZdRsnywb1EKmQXIRqAMT,The Summer Coffee Company Talat noi,The Summer Coffee Company,The Summer Coffee Company,13.7338155,100.5143657,,ร้านกาแฟ/ชา,ร้านกาแฟ/ชา,1,https://img.wongnai.com/p/_-x_/2024/01/31/fa2126cbf0464f9ab26d1631ba5a5a21.jpg,https://www.wongnai.com/restaurants/2524410Cj,0,0,https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=TH&q=The%20Summer%20Coffee%20Company%20Talat%20noi&search_type=keyword_exact_phrase,https://adstransparency.google.com/?region=TH&q=The%20Summer%20Coffee%20Company%20Talat%20noi,ok
1581884,1581884Ps,09VxfII5kOnczfQiZzVQy2uTwrz5JR,เตี๋ยวกะเพรา BTS ราชเทวี สาขาที่ 9,เตี๋ยวกะเพรา,,13.752245774927,100.53141625598,10400,อาหารกล่อง/ข้าวกล่อง เดลิเวอรี|อาหารจานเดียว|อาหารตามสั่ง,อาหารกล่อง/ข้าวกล่อง เดลิเวอรี,1,https://img.wongnai.com/p/_-x_/2022/04/21/79b2187319e34d3280c5ac3fc67c031e.jpg,https://www.wongnai.com/restaurants/1581884Ps,0,0,https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=TH&q=%E0%B9%80%E0%B8%95%E0%B8%B5%E0%B9%8B%E0%B8%A2%E0%B8%A7%E0%B8%81%E0%B8%B0%E0%B9%80%E0%B8%9E%E0%B8%A3%E0%B8%B2%20BTS%20%E0%B8%A3%E0%B8%B2%E0%B8%8A%E0%B9%80%E0%B8%97%E0%B8%A7%E0%B8%B5%20%E0%B8%AA%E0%B8%B2%E0%B8%82%E0%B8%B2%E0%B8%97%E0%B8%B5%E0%B9%88%209&search_type=keyword_exact_phrase,https://adstransparency.google.com/?region=TH&q=%E0%B9%80%E0%B8%95%E0%B8%B5%E0%B9%8B%E0%B8%A2%E0%B8%A7%E0%B8%81%E0%B8%B0%E0%B9%80%E0%B8%9E%E0%B8%A3%E0%B8%B2%20BTS%20%E0%B8%A3%E0%B8%B2%E0%B8%8A%E0%B9%80%E0%B8%97%E0%B8%A7%E0%B8%B5%20%E0%B8%AA%E0%B8%B2%E0%B8%82%E0%B8%B2%E0%B8%97%E0%B8%B5%E0%B9%88%209,ok
54780,54780Yu,09VwpBTRMa1oiTtqD7TK0Eu1lvEM3X,Pizza Hut สะพานควาย,พิซซ่าฮัท,Pizza Hut,13.789784,100.549838,,พิซซ่า|ฟาสต์ฟู้ด/จานด่วน,พิซซ่า,1,https://img.wongnai.com/p/_-x_/2026/05/14/6b1f4978850242f68cbc0319b91577df.jpg,https://www.wongnai.com/restaurants/54780Yu,0,0,https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=TH&q=Pizza%20Hut%20%E0%B8%AA%E0%B8%B0%E0%B8%9E%E0%B8%B2%E0%B8%99%E0%B8%84%E0%B8%A7%E0%B8%B2%E0%B8%A2&search_type=keyword_exact_phrase,https://adstransparency.google.com/?region=TH&q=Pizza%20Hut%20%E0%B8%AA%E0%B8%B0%E0%B8%9E%E0%B8%B2%E0%B8%99%E0%B8%84%E0%B8%A7%E0%B8%B2%E0%B8%A2,ok
1853660,1853660bo,09Vxl6oQkmCZls5GGuz6ToD8KsUpFF,ครัวบางนา ซีคอนสแควร์ ศรีนครินทร์,ครัวบางนา,KRUABANGNA,13.695713783486,100.64879667846,10250,อาหารไทย,อาหารไทย,1,https://img.wongnai.com/p/_-x_/2022/10/15/4c980d080ca14bd0a69caad3f90e7a40.jpg,https://www.wongnai.com/restaurants/1853660bo,0,0,https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=TH&q=%E0%B8%84%E0%B8%A3%E0%B8%B1%E0%B8%A7%E0%B8%9A%E0%B8%B2%E0%B8%87%E0%B8%99%E0%B8%B2%20%E0%B8%8B%E0%B8%B5%E0%B8%84%E0%B8%AD%E0%B8%99%E0%B8%AA%E0%B9%81%E0%B8%84%E0%B8%A7%E0%B8%A3%E0%B9%8C%20%E0%B8%A8%E0%B8%A3%E0%B8%B5%E0%B8%99%E0%B8%84%E0%B8%A3%E0%B8%B4%E0%B8%99%E0%B8%97%E0%B8%A3%E0%B9%8C&search_type=keyword_exact_phrase,https://adstransparency.google.com/?region=TH&q=%E0%B8%84%E0%B8%A3%E0%B8%B1%E0%B8%A7%E0%B8%9A%E0%B8%B2%E0%B8%87%E0%B8%99%E0%B8%B2%20%E0%B8%8B%E0%B8%B5%E0%B8%84%E0%B8%AD%E0%B8%99%E0%B8%AA%E0%B9%81%E0%B8%84%E0%B8%A7%E0%B8%A3%E0%B9%8C%20%E0%B8%A8%E0%B8%A3%E0%B8%B5%E0%B8%99%E0%B8%84%E0%B8%A3%E0%B8%B4%E0%B8%99%E0%B8%97%E0%B8%A3%E0%B9%8C,ok
172206,172206Sx,09VwpBTRQg2cdQ14qFhEym0lubuqCp,Fillets วัน แบงค็อก,,,13.727607194419193,100.54643775423234,10330,ซูชิ|อาหารญี่ปุ่น,ซูชิ,1,https://img.wongnai.com/p/_-x_/2020/03/09/78eace3caea548b69ab5c704d77f5036.jpg,https://www.wongnai.com/restaurants/172206Sx,0,0,https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=TH&q=Fillets%20%E0%B8%A7%E0%B8%B1%E0%B8%99%20%E0%B9%81%E0%B8%9A%E0%B8%87%E0%B8%84%E0%B9%87%E0%B8%AD%E0%B8%81&search_type=keyword_exact_phrase,https://adstransparency.google.com/?region=TH&q=Fillets%20%E0%B8%A7%E0%B8%B1%E0%B8%99%20%E0%B9%81%E0%B8%9A%E0%B8%87%E0%B8%84%E0%B9%87%E0%B8%AD%E0%B8%81,ok
685617,685617dY,09VxI5SF5Y5rFvPVsSZ8dRWyJYFfT8,HALO Koffee เหม่งจ๋าย,HALO Koffee,HALO Koffee,13.772182,100.590767,10310,ร้านกาแฟ/ชา,ร้านกาแฟ/ชา,1,https://img.wongnai.com/p/_-x_/2021/01/14/230eef4e9dcd41378df8b025b3700ac5.jpg,https://www.wongnai.com/restaurants/685617dY,0,0,https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=TH&q=HALO%20Koffee%20%E0%B9%80%E0%B8%AB%E0%B8%A1%E0%B9%88%E0%B8%87%E0%B8%88%E0%B9%8B%E0%B8%B2%E0%B8%A2&search_type=keyword_exact_phrase,https://adstransparency.google.com/?region=TH&q=HALO%20Koffee%20%E0%B9%80%E0%B8%AB%E0%B8%A1%E0%B9%88%E0%B8%87%E0%B8%88%E0%B9%8B%E0%B8%B2%E0%B8%A2,ok
186561,186561aZ,09VwpBTRT3D8Ph9h7h4Gsh8v3LAq5I,Patisserie Rosie,พาทิซเซอรี่ โรซี่,Patisserie Rosie,13.714561712718432,100.5813412182033,10110,เบเกอรี/เค้ก|ของหวาน,เบเกอรี/เค้ก,1,https://img.wongnai.com/p/_-x_/2023/12/27/4c3df1be5f424809949c66c21140af8b.jpg,https://www.wongnai.com/restaurants/186561aZ,0,0,https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=TH&q=Patisserie%20Rosie&search_type=keyword_exact_phrase,https://adstransparency.google.com/?region=TH&q=Patisserie%20Rosie,ok
2462626,2462626wb,09Vy1VrckK4sV22HHqhPIcpRihnD9e,น้องบลูตามสั่ง,,,13.85871839805064,100.58555094525218,10210,อาหารตามสั่ง|อาหารจานเดียว,อาหารตามสั่ง,1,https://img.wongnai.com/p/_-x_/2024/06/12/89aa8049eece4f81bc7db01a1fe32e0a.jpg,https://www.wongnai.com/restaurants/2462626wb,0,0,https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=TH&q=%E0%B8%99%E0%B9%89%E0%B8%AD%E0%B8%87%E0%B8%9A%E0%B8%A5%E0%B8%B9%E0%B8%95%E0%B8%B2%E0%B8%A1%E0%B8%AA%E0%B8%B1%E0%B9%88%E0%B8%87&search_type=keyword_exact_phrase,https://adstransparency.google.com/?region=TH&q=%E0%B8%99%E0%B9%89%E0%B8%AD%E0%B8%87%E0%B8%9A%E0%B8%A5%E0%B8%B9%E0%B8%95%E0%B8%B2%E0%B8%A1%E0%B8%AA%E0%B8%B1%E0%B9%88%E0%B8%87,ok
286750,286750yd,09VwpBTROwO5AWFbGz79hposWZelb3,ขนมไทยเสน่ห์ คาเฟ่ต์ (Sane Cafe and Workshop) อิสรภาพ,ขนมไทยเสน่ห์ คาเฟ่ต์ (Sane Cafe and Workshop),Sane Cafe & Workshop,13.732137721847762,100.48391936346889,10600,ของหวาน|เบเกอรี/เค้ก|เครื่องดื่ม/น้ำผลไม้,ของหวาน,1,https://img.wongnai.com/p/_-x_/2021/06/16/80f181b623b044e295117829e9467273.jpg,https://www.wongnai.com/restaurants/286750yd,0,0,https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=TH&q=%E0%B8%82%E0%B8%99%E0%B8%A1%E0%B9%84%E0%B8%97%E0%B8%A2%E0%B9%80%E0%B8%AA%E0%B8%99%E0%B9%88%E0%B8%AB%E0%B9%8C%20%E0%B8%84%E0%B8%B2%E0%B9%80%E0%B8%9F%E0%B9%88%E0%B8%95%E0%B9%8C%20%28Sane%20Cafe%20and%20Workshop%29%20%E0%B8%AD%E0%B8%B4%E0%B8%AA%E0%B8%A3%E0%B8%A0%E0%B8%B2%E0%B8%9E&search_type=keyword_exact_phrase,https://adstransparency.google.com/?region=TH&q=%E0%B8%82%E0%B8%99%E0%B8%A1%E0%B9%84%E0%B8%97%E0%B8%A2%E0%B9%80%E0%B8%AA%E0%B8%99%E0%B9%88%E0%B8%AB%E0%B9%8C%20%E0%B8%84%E0%B8%B2%E0%B9%80%E0%B8%9F%E0%B9%88%E0%B8%95%E0%B9%8C%20%28Sane%20Cafe%20and%20Workshop%29%20%E0%B8%AD%E0%B8%B4%E0%B8%AA%E0%B8%A3%E0%B8%A0%E0%B8%B2%E0%B8%9E,ok
431147,431147Lz,09VwwLqV6Qyb7BwCvvhu2RoVhtWVNy,Arvie พระราม3,อาร์วี,Arvie,13.691978,100.542933,10120,อาหารไทย|คาเฟ่,อาหารไทย,1,https://img.wongnai.com/p/_-x_/2025/12/01/5ab33190a4e04028b623aa0d3e315747.jpg,https://www.wongnai.com/restaurants/431147Lz,0,0,https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=TH&q=Arvie%20%E0%B8%9E%E0%B8%A3%E0%B8%B0%E0%B8%A3%E0%B8%B2%E0%B8%A13&search_type=keyword_exact_phrase,https://adstransparency.google.com/?region=TH&q=Arvie%20%E0%B8%9E%E0%B8%A3%E0%B8%B0%E0%B8%A3%E0%B8%B2%E0%B8%A13,ok
