timestamp,city,venue,outcome,has_phone,has_fb,has_address,n_fields,query
2026-05-31T17:21:06+00:00,Udon Thani,Wine Society Pub & Restaurant,hit,1,1,1,3,Wine Society Pub & Restaurant Udon Thani phone address facebook
2026-05-31T17:21:06+00:00,Udon Thani,305 Bar & Restaurant,partial,0,1,1,3,305 Bar & Restaurant Udon Thani phone address facebook
2026-05-31T17:21:06+00:00,Udon Thani,The Country Grill,hit,1,1,1,4,The Country Grill Udon Thani phone address facebook
2026-05-31T17:21:06+00:00,Udon Thani,The ShaDow,hit,1,0,1,2,The ShaDow Udon Thani phone address facebook
2026-05-31T17:21:06+00:00,Udon Thani,Iconic Udonthani,partial,0,1,1,3,Iconic Udonthani Udon Thani phone address facebook
2026-05-31T17:21:06+00:00,Udon Thani,The White Box,hit,1,1,1,3,The White Box Udon Thani phone address facebook
2026-05-31T17:21:06+00:00,Udon Thani,U-Tube Bar & Restaurant,hit,1,1,1,3,U-Tube Bar & Restaurant Udon Thani phone address facebook
2026-05-31T17:21:06+00:00,Udon Thani,The Good Corner Restaurant and Bar,hit,1,1,1,3,The Good Corner Restaurant and Bar Udon Thani phone address facebook
2026-05-31T17:21:06+00:00,Udon Thani,9T Station Cafe & Bar,hit,1,1,1,4,9T Station Cafe & Bar Udon Thani phone address facebook
2026-05-31T17:21:06+00:00,Udon Thani,SAY Cafe & Bar,hit,1,1,1,4,SAY Cafe & Bar Udon Thani phone address facebook
2026-05-31T17:21:06+00:00,Udon Thani,Three Lady Bar,partial,0,1,1,2,Three Lady Bar Udon Thani phone address facebook
2026-05-31T17:21:06+00:00,Udon Thani,BLACK To BLACK Bar,partial,0,1,1,2,BLACK To BLACK Bar Udon Thani phone address facebook
2026-05-31T17:21:06+00:00,Udon Thani,Sky Heaven Bar,partial,0,1,1,2,Sky Heaven Bar Udon Thani phone address facebook
2026-05-31T17:21:06+00:00,Udon Thani,69 Bar,partial,0,1,1,2,69 Bar Udon Thani phone address facebook
2026-05-31T17:21:06+00:00,Udon Thani,Chef's Table,hit,1,1,1,3,Chef's Table Udon Thani phone address facebook
2026-05-31T17:21:06+00:00,Udon Thani,FLUID pub & bar,hit,1,1,1,3,FLUID pub & bar Udon Thani phone address facebook
2026-05-31T17:21:06+00:00,Udon Thani,RooHipHop Bar Udon,partial,0,1,1,2,RooHipHop Bar Udon Udon Thani phone address facebook
2026-05-31T17:21:06+00:00,Udon Thani,Cool Bar Camp Udonthani,partial,0,1,1,2,Cool Bar Camp Udonthani Udon Thani phone address facebook
2026-05-31T17:21:06+00:00,Udon Thani,VT Namnueng,hit,1,0,1,3,VT Namnueng Udon Thani phone address facebook
2026-05-31T17:21:06+00:00,Udon Thani,Rabiang Patchanee,hit,1,1,1,3,Rabiang Patchanee Udon Thani phone address facebook
2026-05-31T17:21:06+00:00,Udon Thani,Good Everything,hit,1,1,1,4,Good Everything Udon Thani phone address facebook
2026-05-31T17:21:06+00:00,Udon Thani,Sahayniyom Bar,partial,0,1,1,2,Sahayniyom Bar Udon Thani phone address facebook
2026-05-31T17:21:06+00:00,Udon Thani,SIPS Bar,partial,0,1,1,2,SIPS Bar Udon Thani phone address facebook
2026-05-31T17:21:06+00:00,Udon Thani,Oldboysbar,partial,0,1,1,2,Oldboysbar Udon Thani phone address facebook
2026-05-31T17:21:06+00:00,Udon Thani,Udonsook Bar,partial,0,1,1,2,Udonsook Bar Udon Thani phone address facebook
2026-05-31T17:21:06+00:00,Udon Thani,The Good Days Cafe,hit,1,1,1,4,The Good Days Cafe Udon Thani phone address facebook
2026-05-31T17:21:06+00:00,Udon Thani,SizzlerThai Udon,hit,1,1,1,3,SizzlerThai Udon Udon Thani phone address facebook
2026-05-31T17:21:06+00:00,Udon Thani,Prime Steakhouse Udon,partial,0,1,1,2,Prime Steakhouse Udon Udon Thani phone address facebook
2026-05-31T17:21:06+00:00,Udon Thani,Mantra House,partial,0,1,1,2,Mantra House Udon Thani phone address facebook
2026-05-31T17:39:04+00:00,Udon Thani,Boyzone Pub,partial,0,0,1,1,Boyzone Pub Udon Thani phone address facebook
2026-05-31T17:39:04+00:00,Udon Thani,Rustic Udonthani,hit,1,1,1,3,Rustic Udonthani Udon Thani phone address facebook
2026-05-31T17:39:04+00:00,Udon Thani,Shawty Music Bar,hit,1,1,1,4,Shawty Music Bar Udon Thani phone address facebook
2026-05-31T17:39:04+00:00,Udon Thani,Piccola Roma,hit,1,1,1,4,Piccola Roma Udon Thani phone address facebook
2026-05-31T17:39:04+00:00,Udon Thani,Little Italian Restaurant,hit,1,1,1,3,Little Italian Restaurant Udon Thani phone address facebook
2026-05-31T17:39:04+00:00,Udon Thani,Mae Ya,hit,1,1,1,3,Mae Ya Udon Thani phone address facebook
2026-05-31T17:39:04+00:00,Udon Thani,Halal Kitchen Udonthani,partial,0,1,1,2,Halal Kitchen Udonthani Udon Thani phone address facebook
2026-05-31T17:39:04+00:00,Udon Thani,Food Park at Central Plaza,hit,1,0,1,2,Food Park at Central Plaza Udon Thani phone address facebook
