Virksomhet,Nettside,Har_app_iOS,Har_app_Android,App_link_iOS,App_link_Android,Har_tilgjengelighetserklæring,Tilgjengelighet_URL,Notes
Vest-Finnmark Rådet,https://www.vestfinnmark.no,Error,Error,,,Error,,Connection Error
Øst-Finnmarkrådet,https://www.ost-finnmark.no,Error,Error,,,Error,,Connection Error
Alta kommunale boligselskap KF,https://www.altabolig.no,Error,Error,,,Error,,Connection Error
Hammerfest kommunale boligstiftelse,https://www.hkb.no,Error,Error,,,Error,,Connection Error
Alta videregående skole,https://alta.vgs.no,No,No,,,Yes,https://uustatus.no/nb/erklaringer/publisert/58c05c56-eb51-47b8-ad24-5a46bee2b76c,Accessibility declaration found
Hammerfest videregående skole,https://hammerfest.vgs.no,No,No,,,Yes,https://uustatus.no/nb/erklaringer/publisert/a0da34f0-0538-4718-a1c7-119ebfd90416,Accessibility declaration found
Båtsfjord Havn KF,https://www.batsfjordhavn.no,No,No,,,No,,
Hasvik Havn KF,https://www.hasvikhavn.no,Error,Error,,,Error,,Connection Error
Finnmarkshallen AS,https://www.finnmarkshallen.no,No,No,,,No,,
Sami Giellagáldu (Samisk språkråd),https://www.giella.org,No,No,,,No,,
Vest-Finnmark Rådet,https://www.vestfinnmark.no,Error,Error,,,Error,,Connection Error
Øst-Finnmarkrådet,https://www.ost-finnmark.no,Error,Error,,,Error,,Connection Error
Alta kommunale boligselskap KF,https://www.altabolig.no,Error,Error,,,Error,,Connection Error
Hammerfest kommunale boligstiftelse,https://www.hkb.no,Error,Error,,,Error,,Connection Error
Alta videregående skole,https://alta.vgs.no,No,No,,,Yes,https://uustatus.no/nb/erklaringer/publisert/58c05c56-eb51-47b8-ad24-5a46bee2b76c,Accessibility declaration found
Hammerfest videregående skole,https://hammerfest.vgs.no,No,No,,,Yes,https://uustatus.no/nb/erklaringer/publisert/a0da34f0-0538-4718-a1c7-119ebfd90416,Accessibility declaration found
Båtsfjord Havn KF,https://www.batsfjordhavn.no,No,No,,,No,,
Hasvik Havn KF,https://www.hasvikhavn.no,Error,Error,,,Error,,Connection Error
Finnmarkshallen AS,https://www.finnmarkshallen.no,No,No,,,No,,
Sami Giellagáldu (Samisk språkråd),https://www.giella.org,No,No,,,No,,
Finnmark IKT IKS,https://www.finnmark-ikt.no,Error,Error,,,Error,,Connection Error
Alta Kommune - ACOS Interact (Skjema),https://skjema.alta.kommune.no,Error,Error,,,Error,,Connection Error
Vadsø videregående skole,https://vadso.vgs.no,No,No,,,Yes,https://uustatus.no/nb/erklaringer/publisert/4d39c46b-0abe-40d6-8e30-ae023c824878,Accessibility declaration found
Vadsø kirkelige fellesråd,https://vadso.kirken.no,Error,Error,,,Error,,Connection Error
Porsanger Vekst AS,https://porsanger-vekst.no,Error,Error,,,Error,,Connection Error
Vardø Produkter AS,https://vardoprodukter.no,Error,Error,,,Error,,Connection Error
Tana og Varanger Museumssiida,https://monit.no,Error,Error,,,Error,,Connection Error
Sør-Varanger/Lebesby Brann (IKS-avtale),https://www.lebesby.kommune.no,No,No,,,Yes,https://uustatus.no/nb/erklaringer/publisert/581f0e7b-eb59-4001-aa1c-46fbb8c221a8,Accessibility declaration found
Loppa Havn KF,https://www.loppa.kommune.no/havn,Error,Error,,,Error,,HTTP Error: 404
Komsoparken AS (Næringspark),https://komsoparken.no,Error,Error,,,Error,,Connection Error
